Event_Type,	Model_S_ID,	Sound_S_ID,	Input_Event,	Button_Code,	Function_Name,	Play_Once,	Other_S_ID,	Args_1,	Args_2,	Args_3,	Args_4,	Args_5
# Exit
HOVER,		Exit,		NULL,		PRESS,		0,		SET_TEXT_COLOR,	1,		NULL,		255,	252,	199,	255,	NULL
HOVER,		Exit,		NULL,		RELEASE,		0,		SET_TEXT_COLOR,	1,		NULL,		255,	255,	255,	255,	NULL
CLICK,		Exit,		Menu_Listener,	PRESS,		0,		PLAY_SOUND,	1,		NULL,		Click,	1,	NULL,	NULL,	NULL
CLICK,		Exit,		NULL,		PRESS,		0,		SET_SRENDER,	1,		NULL,		Settings_Data,	0,	NULL,	NULL,	NULL
CLICK,		Exit,		NULL,		PRESS,		0,		SET_TEXT_COLOR,	1,		NULL,		255,	255,	255,	255,	NULL
CLICK,		Exit,		NULL,		PRESS,		0,		SET_ACTIVE_INPUT,	1,		NULL,		Main_Menu,	NULL,	NULL,	NULL,	NULL
# Volume
HOVER,		Volume_Area,	NULL,		PRESS,		0,		Hovering_Over_Slider,	1,	NULL,	NULL,	NULL,	NULL,	NULL,	NULL
# Music
SOUND_END,	NULL,		Menu_Listener,	PRESS,		0,		PLAY_SOUND,	1,		NULL,		Menu_Music_2,	Menu_Music_1,	0,	NULL,	NULL
SOUND_END,	NULL,		Menu_Listener,	PRESS,		0,		PLAY_SOUND,	1,		NULL,		Menu_Music_1,	Menu_Music_2,	0,	NULL,	NULL
SOUND_END,	NULL,		Menu_Listener,	PRESS,		0,		RESET_SOUND,	1,		NULL,		Menu_Music_2,	Menu_Music_2,	NULL,	NULL,	NULL
SOUND_END,	NULL,		Menu_Listener,	PRESS,		0,		RESET_SOUND,	1,		NULL,		Menu_Music_1,	Menu_Music_1,	NULL,	NULL,	NULL
# Sounds
