Event_Type,	Model_S_ID,	Sound_S_ID,	Input_Event,	Button_Code,	Function_Name,	Play_Once,	Other_S_ID,	Args_1,	Args_2,	Args_3,	Args_4,	Args_5
# Settings Events
HOVER,		SETTINGS,		NULL,		PRESS,		0,		SET_TEXT_COLOR,	1,		NULL,		0,	160,	0,	255,	NULL
HOVER,		SETTINGS,		NULL,		RELEASE,		0,		SET_TEXT_COLOR,	1,		NULL,		0,	128,	0,	255,	NULL
CLICK,		SETTINGS,		Menu_Listener,	PRESS,		0,		PLAY_SOUND,	1,		NULL,		Click,	1,	NULL,	NULL,	NULL
CLICK,		SETTINGS,		NULL,		PRESS,		0,		SET_SRENDER,	1,		NULL,		Settings_Data,1,	NULL,	NULL,	NULL
CLICK,		SETTINGS,		NULL,		PRESS,		0,		SET_TEXT_COLOR,	1,		NULL,		0,	128,	0,	255,	NULL
CLICK,		SETTINGS,		NULL,		PRESS,		0,		SET_ACTIVE_INPUT,	1,		NULL,		Settings,	NULL,	NULL,	NULL,	NULL
# Start Game Events
HOVER,		START_GAME,	NULL,		PRESS,		0,		SET_TEXT_COLOR,	1,		NULL,		0,	160,	0,	255,	NULL
HOVER,		START_GAME,	NULL,		RELEASE,		0,		SET_TEXT_COLOR,	1,		NULL,		0,	128,	0,	255,	NULL
CLICK,		START_GAME,	Menu_Listener,	PRESS,		0,		PLAY_SOUND,	1,		NULL,		Click,	1,	NULL,	NULL,	NULL
CLICK,		START_GAME,	NULL,		PRESS,		0,		CHANGE_SCENE,	1,		NULL,		Zone_1,1,	NULL,	NULL,	NULL
CLICK,		START_GAME,	NULL,		PRESS,		0,		SET_OSRENDER,	1,		NULL,		Zone_1,	Console_Data,	1,	NULL,	NULL
# Music
SOUND_START,	NULL,		Menu_Listener,	PRESS,		0,		PLAY_SOUND,	1,		NULL,		Menu_Music_1,	Menu_Music_1,	0,	NULL,	NULL
SOUND_END,	NULL,		Menu_Listener,	PRESS,		0,		PLAY_SOUND,	1,		NULL,		Menu_Music_2,	Menu_Music_1,	0,	NULL,	NULL
SOUND_END,	NULL,		Menu_Listener,	PRESS,		0,		PLAY_SOUND,	1,		NULL,		Menu_Music_1,	Menu_Music_2,	0,	NULL,	NULL
SOUND_END,	NULL,		Menu_Listener,	PRESS,		0,		RESET_SOUND,	1,		NULL,		Menu_Music_2,	Menu_Music_2,	NULL,	NULL,	NULL
SOUND_END,	NULL,		Menu_Listener,	PRESS,		0,		RESET_SOUND,	1,		NULL,		Menu_Music_1,	Menu_Music_1,	NULL,	NULL,	NULL
